episode,reward
1113,-45.27697818218942
1114,-48.46663942998451
1115,-43.13347763294563
1116,-45.10592379490539
1117,-57.57589393647776
1118,-44.9754760210091
1119,-51.57299727808513
1120,-59.63421972136551
1121,-50.143606673500265
1122,-50.43104909640801
1123,-53.39999426126385
1124,-41.424404924559745
1125,-25.382570654255492
1126,-54.99821990299477
1127,-49.32810501054938
1128,-43.818927176280035
1129,-46.73336735376753
1130,-52.95492558881247
1131,-48.812622852661974
1132,-54.251050666497804
1133,-44.494804020686615
1134,-45.90754870103875
1135,-41.45056701585527
1136,-49.85667392628933
1137,-48.57468181701397
1138,-52.727681118016406
1139,-55.325201833638026
1140,-42.27223343912843
1141,-47.6767416100614
1142,-52.708044078114455
1143,-56.11621729892517
1144,-48.344884975179426
1145,-42.221235684750255
1146,-53.28103218863961
1147,-53.893128014194666
1148,-47.45296860472483
1149,-42.401158141696584
1150,-46.31923366366848
1151,-44.15879151834925
1152,-52.024270984312835
1153,-53.60633728332539
1154,-44.30800507121656
1155,-53.06596701697155
1156,-43.45734968795061
1157,-55.18555528387637
1158,-55.61858609820774
1159,-46.90315557264874
1160,-43.711391302244195
1161,-40.89272795776867
1162,-46.09864458165059
1163,-50.51112949425698
1164,-46.935308919675606
1165,-21.57185509613597
1166,-54.78381052501473
1167,-42.18700995087191
1168,-39.14138997575713
1169,-46.61285275787099
1170,-48.54984876931556
1171,-48.675799881045066
1172,-54.90962134844331
1173,-46.6956943975593
1174,-49.0174568693739
1175,-47.90889277714789
1176,-50.4045285349328
1177,-46.66619775012126
1178,-49.49013215792407
1179,-51.8885337159143
1180,-50.66442296972735
1181,-62.63111079138446
1182,-47.99187513940937
1183,-48.71376821691171
1184,-52.23242022539084
1185,-48.837372598696746
1186,-49.26886600616948
1187,-46.913502435727494
1188,-50.22921908644346
1189,-60.00515287359213
1190,-44.27457203324466
1191,-49.89870845444998
1192,-43.13239728242518
1193,-44.648929046426254
1194,-40.981878125999884
1195,-42.66131228407011
1196,-47.726686862322914
1197,-47.393932111327395
1198,-50.314401137624614
1199,-46.65425332941096
1200,-51.499984731530056
1201,-46.76613424181753
1202,-58.473843724090166
1203,-50.32180122535162
1204,-53.61364650928312
1205,-13.24978060419259
1206,-46.165261151745035
1207,-48.44081883879992
1208,-47.84846236686312
1209,-50.066972953851675
1210,-50.0205947420607
1211,-54.03120748589719
1212,-43.074215233304535
1213,-46.44790267085694
1214,-43.412342703027015
1215,-40.95443939219091
1216,-45.44191247094322
1217,-48.23914052678952
1218,-46.956658518872224
1219,-46.24087297491237
1220,-55.60630416432695
1221,-36.66955190419334
1222,-41.03588957898601
1223,-46.56382696983094
1224,-41.05152387687209
1225,-52.09222391809559
1226,-48.68888960759932
1227,-49.134696716491604
1228,-47.711161241701696
1229,-41.748964953734394
1230,-45.24394738290966
1231,-46.503498679663785
1232,-46.39772853931049
1233,-43.39379009161074
1234,-52.463447676570134
1235,-49.534807700789095
1236,-45.12870992058412
1237,-39.96541216156609
1238,-50.55476800952721
1239,-44.129062144677675
1240,-54.0109395759884
1241,-43.22686114252274
1242,-42.295290895402566
1243,-50.617242711962945
1244,-43.6937942345487
1245,-5.442307535752649
1246,-46.12765789013058
1247,-46.61148763214355
